"filename", "language", "Python", "Markdown", "comment", "blank", "total"
"c:\Users\larss\Documents\freqfinder\freqfinder\README.md", "Markdown", 0, 249, 0, 99, 348
"c:\Users\larss\Documents\freqfinder\freqfinder\__init__.py", "Python", 181, 0, 22, 37, 240
"c:\Users\larss\Documents\freqfinder\freqfinder\analysis\__init__.py", "Python", 14, 0, 1, 2, 17
"c:\Users\larss\Documents\freqfinder\freqfinder\analysis\stationarity.py", "Python", 175, 0, 15, 45, 235
"c:\Users\larss\Documents\freqfinder\freqfinder\core\__init__.py", "Python", 28, 0, 1, 4, 33
"c:\Users\larss\Documents\freqfinder\freqfinder\core\base.py", "Python", 109, 0, 15, 26, 150
"c:\Users\larss\Documents\freqfinder\freqfinder\core\utils.py", "Python", 141, 0, 23, 42, 206
"c:\Users\larss\Documents\freqfinder\freqfinder\core\visualization.py", "Python", 161, 0, 22, 42, 225
"c:\Users\larss\Documents\freqfinder\freqfinder\filters\__init__.py", "Python", 8, 0, 1, 2, 11
"c:\Users\larss\Documents\freqfinder\freqfinder\filters\spectral.py", "Python", 118, 0, 26, 33, 177
"c:\Users\larss\Documents\freqfinder\freqfinder\methods\__init__.py", "Python", 11, 0, 1, 2, 14
"c:\Users\larss\Documents\freqfinder\freqfinder\methods\factory.py", "Python", 28, 0, 2, 4, 34
"c:\Users\larss\Documents\freqfinder\freqfinder\methods\hybrid.py", "Python", 321, 0, 40, 67, 428
"c:\Users\larss\Documents\freqfinder\freqfinder\methods\inchworm.py", "Python", 107, 0, 12, 22, 141
"c:\Users\larss\Documents\freqfinder\freqfinder\methods\ufbd.py", "Python", 102, 0, 12, 22, 136
"c:\Users\larss\Documents\freqfinder\freqfinder\original_inchworm.py", "Python", 698, 0, 143, 203, 1044
"c:\Users\larss\Documents\freqfinder\freqfinder\original_ufbd.py", "Python", 533, 0, 88, 140, 761
"Total", "-", 2735, 249, 424, 792, 4200